name,link,theme,mode,date
Code Kshetra 2.0,https://code-kshetra-2.devfolio.co/,No Restrictions,Offline,Starts 21/02/25
DotSlash 8.0,https://hackdotslash-8.devfolio.co/,No Restrictions,Offline,Starts 01/02/25
Err_404  6.0,https://err-11.devfolio.co/,No Restrictions,Offline,Starts 18/01/25
DUHacks 4.0,https://duhacks4.devfolio.co/,No Restrictions,Online,Starts 22/02/25
Innerve 9.0,https://innerve-nine.devfolio.co/,No Restrictions,Offline,Starts 07/02/25
Formidium DevFest 4.0 Goa,https://formidium-devfest-goa.devfolio.co/,Blockchain,Online,Starts 17/01/25
HackSnippet 3.0,https://hacksnippet-3.devfolio.co/,No Restrictions,Offline,Starts 08/02/25
HackTU 6.0,https://hacktu-6.devfolio.co/,No Restrictions,Offline,Starts 08/02/25
TSEC HACKS 2025,https://tsec-hacks-2025.devfolio.co/,No Restrictions,Offline,Starts 29/01/25
Datathon-2025,https://datazen-2025.devfolio.co/,AI/ML,Offline,Starts 01/02/25
We-Hack,https://wehack25.devfolio.co/,No Restrictions,Offline,Starts 27/02/25
HackSRM 6.0,https://hack-srm25.devfolio.co/,No Restrictions,Offline,Starts 05/02/25
Electrothon 7.0,https://electrothon-7.devfolio.co/,No Restrictions,Offline,Starts 07/03/25
ZK Online Hackathon for Web3 Builders,https://zk-online-hackathon-for-web3-builders.devfolio.co/,Blockchain,Online,Starts 27/01/25
HackHound 3.O,https://hackhound2k25.devfolio.co/,No Restrictions,Offline,Starts 27/02/25
Hack-Nocturne,https://hack-nocturne.devfolio.co/,No Restrictions,Offline,Starts 21/02/25
RNS Hack_Overflow 2.0,https://rns-hackoverflow-2.devfolio.co/,No Restrictions,Offline,Starts 21/02/25
Hack This Fall 2025,https://hackthisfall.devfolio.co/,No Restrictions,Offline,Starts 21/03/25
DevsHouse '25,https://devshouse25.devfolio.co/,No Restrictions,Offline,Starts 04/04/25
ETHDenver 2025,https://ethdenver2025.devfolio.co/,Blockchain,Offline,Starts 23/02/25
